Matchweek,Time,Home_Pos,Home,xG_Home,xG_Away,Away,Away_Pos
1,19:00,0,Girona,0.6,3.4,Rayo Vallecano,0
1,21:30,0,Villarreal,2.4,0.9,Oviedo,0
1,19:30,0,Mallorca,0.2,2.1,Barcelona,0
1,21:30,0,Alavés,1.2,0.9,Levante,0
1,21:30,0,Valencia,2,0.8,Real Sociedad,0
1,17:00,0,Celta Vigo,0.7,1.4,Getafe,0
1,19:30,0,Athletic Club,2.8,1,Sevilla,0
1,21:30,0,Espanyol,1.3,1.1,Atlético Madrid,0
1,21:00,0,Elche,0.6,1.9,Betis,0
1,21:00,0,Real Madrid,1.6,0.4,Osasuna,0
2,21:30,9,Betis,1.9,1.1,Alavés,6
2,17:00,20,Mallorca,0.7,0.7,Celta Vigo,18
2,19:30,14,Atlético Madrid,1.7,0.6,Elche,12
2,21:30,15,Levante,1.8,1.9,Barcelona,1
2,17:00,16,Osasuna,0.8,0.4,Valencia,11
2,19:30,3,Real Sociedad,1.1,1.8,Espanyol,17
2,19:30,10,Villarreal,2.3,0.1,Girona,7
2,21:30,19,Oviedo,0.5,2.7,Real Madrid,8
2,19:30,5,Athletic Club,1.5,0.3,Rayo Vallecano,2
2,21:30,13,Sevilla,0.5,0.7,Getafe,4
3,19:30,12,Elche,1.1,0.7,Levante,18
3,21:30,14,Valencia,1.1,0.7,Getafe,4
3,17:00,9,Alavés,0.9,1,Atlético Madrid,13
3,19:00,19,Oviedo,0.5,1,Real Sociedad,11
3,19:30,20,Girona,2,1.3,Sevilla,17
3,21:30,3,Real Madrid,1.8,0.7,Mallorca,16
3,17:00,15,Celta Vigo,1,1,Villarreal,1
3,19:00,7,Betis,0.6,1.1,Athletic Club,5
3,19:30,6,Espanyol,1.2,1.4,Osasuna,10
3,21:30,8,Rayo Vallecano,1.8,1.8,Barcelona,2
4,21:00,12,Sevilla,0.4,1,Elche,7
4,14:00,6,Getafe,0.7,0.3,Oviedo,14
4,16:15,16,Real Sociedad,2.2,2.4,Real Madrid,1
4,18:30,2,Athletic Club,1.1,0.1,Alavés,11
4,21:00,15,Atlético Madrid,1,1,Villarreal,3
4,14:00,17,Celta Vigo,2.5,0.6,Girona,20
4,16:15,19,Levante,0.8,2.1,Betis,8
4,18:30,13,Osasuna,1.6,1.1,Rayo Vallecano,10
4,21:00,4,Barcelona,3.9,0.1,Valencia,9
4,21:00,5,Espanyol,2.4,2.2,Mallorca,18
5,21:00,11,Betis,2.3,0.8,Real Sociedad,17
5,14:00,20,Girona,0.5,2.9,Levante,18
5,16:15,1,Real Madrid,1.2,1,Espanyol,3
5,18:30,6,Villarreal,2.4,1.8,Osasuna,9
5,18:30,7,Alavés,1,0.5,Sevilla,12
5,21:00,14,Valencia,1.8,0.5,Athletic Club,4
5,14:00,13,Rayo Vallecano,1,0.8,Celta Vigo,15
5,16:15,19,Mallorca,0.6,2.1,Atlético Madrid,10
5,18:30,8,Elche,1.7,1.1,Oviedo,16
5,21:00,2,Barcelona,2,0.3,Getafe,5
6,21:00,16,Celta Vigo,0.8,0.3,Betis,8
